Player Name	Pos.	Birthdate	Birthplace	Province	Country	Start	End	GP	G	A	Pts	PIM	Yrs.	Lati	Longi
Shaun Van Allen	C	08/29/1967	Calgary	Alberta	Canada	1990	2004	794	84	185	269	481	13	51.045074	-114.059049
Darryl Olsen	D	10/07/1966	Calgary	Alberta	Canada	1991	1992	1	0	0	0	0	1	51.045074	-114.059049
Warren "Scott" Sharples	G	03/01/1968	Calgary	Alberta	Canada	1991	1992	1	0	0	0	0	1	51.045074	-114.059049
Al Conroy	C	01/17/1966	Calgary	Alberta	Canada	1991	1994	114	9	14	23	156	3	51.045074	-114.059049
Mike Needham	R	04/04/1970	Calgary	Alberta	Canada	1991	1994	86	9	5	14	16	3	51.045074	-114.059049
Rob Conn	R	09/03/1968	Calgary	Alberta	Canada	1991	1996	30	2	5	7	20	2	51.045074	-114.059049
Brent Thompson	D	01/09/1971	Calgary	Alberta	Canada	1991	1997	121	1	10	11	352	6	51.045074	-114.059049
Brandy Semchuk	R	09/22/1971	Calgary	Alberta	Canada	1992	1993	1	0	0	0	2	1	51.045074	-114.059049
Mark Astley	D	03/30/1969	Calgary	Alberta	Canada	1993	1996	75	4	19	23	92	3	51.045074	-114.059049
Ed Patterson	R	11/14/1972	Calgary	Alberta	Canada	1993	1997	68	3	3	6	56	3	51.045074	-114.059049
Jason Smith	D	11/02/1973	Calgary	Alberta	Canada	1993	2009	1008	41	128	169	1099	15	51.045074	-114.059049
Jason Widmer	D	08/01/1973	Calgary	Alberta	Canada	1994	1997	7	0	1	1	7	3	51.045074	-114.059049
Peter Allen	D	03/06/1970	Calgary	Alberta	Canada	1995	1996	8	0	0	0	8	1	51.045074	-114.059049
Scott Bailey	G	05/02/1972	Calgary	Alberta	Canada	1995	1997	19	0	0	0	0	2	51.045074	-114.059049
Alex Hicks	L	09/04/1969	Calgary	Alberta	Canada	1995	2000	258	25	54	79	247	5	51.045074	-114.059049
Chris Wells	C	11/12/1975	Calgary	Alberta	Canada	1995	2000	195	9	20	29	193	5	51.045074	-114.059049
Nolan Baumgartner	D	03/23/1976	Calgary	Alberta	Canada	1995	2010	143	7	40	47	69	10	51.045074	-114.059049
Brent Peterson	L	07/20/1972	Calgary	Alberta	Canada	1996	1999	56	9	1	10	6	3	51.045074	-114.059049
Domenic Pittis	C	10/01/1974	Calgary	Alberta	Canada	1996	2004	86	5	11	16	71	7	51.045074	-114.059049
Darryl Laplante	C	03/28/1977	Calgary	Alberta	Canada	1997	2000	35	0	6	6	10	3	51.045074	-114.059049
Matt Higgins	C	10/29/1977	Calgary	Alberta	Canada	1997	2001	57	1	2	3	6	4	51.045074	-114.059049
Rocky Thompson	R	08/08/1977	Calgary	Alberta	Canada	1997	2002	25	0	0	0	117	4	51.045074	-114.059049
Chris Phillips	D	03/09/1978	Calgary	Alberta	Canada	1997	2013	1073	70	200	270	714	15	51.045074	-114.059049
Josh Holden	C	01/18/1978	Calgary	Alberta	Canada	1998	2004	60	5	9	14	16	6	51.045074	-114.059049
Brent Sopel	D	01/07/1977	Calgary	Alberta	Canada	1998	2011	659	44	174	218	309	12	51.045074	-114.059049
Brad Ference	D	04/02/1979	Calgary	Alberta	Canada	1999	2007	250	4	30	34	565	6	51.045074	-114.059049
Greg Crozier	L	07/06/1976	Calgary	Alberta	Canada	2000	2001	1	0	0	0	0	1	51.045074	-114.059049
Sean Selmser	L	11/10/1974	Calgary	Alberta	Canada	2000	2001	1	0	0	0	5	1	51.045074	-114.059049
Ryan Tobler	W	05/13/1976	Calgary	Alberta	Canada	2001	2002	4	0	0	0	5	1	51.045074	-114.059049
Micki DuPont	D	04/15/1980	Calgary	Alberta	Canada	2001	2008	23	1	3	4	12	4	51.045074	-114.059049
Krys Kolanos	C	07/27/1981	Calgary	Alberta	Canada	2001	2012	149	20	22	42	94	6	51.045074	-114.059049
Jared Aulin	C	03/15/1982	Calgary	Alberta	Canada	2002	2003	17	2	2	4	0	1	51.045074	-114.059049
Kyle Wanvig	R	01/29/1981	Calgary	Alberta	Canada	2002	2008	75	6	9	15	94	5	51.045074	-114.059049
Lawrence Nycholat	D	05/07/1979	Calgary	Alberta	Canada	2003	2009	50	2	7	9	24	4	51.045074	-114.059049
Connor James	C	08/25/1982	Calgary	Alberta	Canada	2005	2009	16	1	0	1	2	3	51.045074	-114.059049
Robert Nilsson	C	01/10/1985	Calgary	Alberta	Canada	2005	2010	252	37	81	118	90	5	51.045074	-114.059049
Jeff Tambellini	L	04/13/1984	Calgary	Alberta	Canada	2005	2011	242	27	36	63	88	6	51.045074	-114.059049
Braydon Coburn	D	02/27/1985	Calgary	Alberta	Canada	2005	2013	493	31	109	140	425	8	51.045074	-114.059049
Patrick Eaves	R	05/01/1984	Calgary	Alberta	Canada	2005	2013	414	72	69	141	145	8	51.045074	-114.059049
Mike Green	D	10/12/1985	Calgary	Alberta	Canada	2005	2013	433	94	183	277	318	8	51.045074	-114.059049
Jamie Hunt	D	04/20/1984	Calgary	Alberta	Canada	2006	2007	1	0	0	0	0	1	51.045074	-114.059049
Jeff Schultz	D	02/25/1986	Calgary	Alberta	Canada	2006	2013	399	11	64	75	133	7	51.045074	-114.059049
Craig Weller	R	03/17/1981	Calgary	Alberta	Canada	2007	2009	95	4	10	14	127	2	51.045074	-114.059049
Ryan Stone	C	03/20/1985	Calgary	Alberta	Canada	2007	2010	35	0	7	7	55	3	51.045074	-114.059049
Mason Raymond	L	09/17/1985	Calgary	Alberta	Canada	2007	2013	374	80	98	178	118	6	51.045074	-114.059049
Tyler Sloan	D	03/15/1981	Calgary	Alberta	Canada	2008	2011	99	4	13	17	50	3	51.045074	-114.059049
Jay Beagle	F	10/16/1985	Calgary	Alberta	Canada	2008	2013	130	9	9	18	49	5	51.045074	-114.059049
T.J. Galiardi	W	04/22/1988	Calgary	Alberta	Canada	2008	2013	221	39	48	87	113	5	51.045074	-114.059049
Mike Brodeur	G	03/30/1983	Calgary	Alberta	Canada	2009	2011	7	0	0	0	0	2	51.045074	-114.059049
Cody Almond	C	07/24/1989	Calgary	Alberta	Canada	2009	2012	25	2	0	2	26	3	51.045074	-114.059049
Chad Johnson	G	06/10/1986	Calgary	Alberta	Canada	2009	2013	10	0	1	1	0	3	51.045074	-114.059049
Nick Johnson	R	12/24/1985	Calgary	Alberta	Canada	2009	2013	104	14	23	37	52	4	51.045074	-114.059049
Nathan Lawson	G	09/29/1983	Calgary	Alberta	Canada	2010	2011	10	0	0	0	0	1	51.045074	-114.059049
Mike Moore	D	12/12/1984	Calgary	Alberta	Canada	2010	2011	6	1	0	1	7	1	51.045074	-114.059049
Joe Colborne	C	01/30/1990	Calgary	Alberta	Canada	2010	2013	16	1	5	6	6	3	51.045074	-114.059049
Mike Connolly	F	07/03/1989	Calgary	Alberta	Canada	2011	2012	2	0	0	0	2	1	51.045074	-114.059049
Kris Foucault	L	12/12/1990	Calgary	Alberta	Canada	2011	2012	1	0	0	0	0	1	51.045074	-114.059049
Dylan Olsen	D	01/03/1991	Calgary	Alberta	Canada	2011	2012	28	0	1	1	6	1	51.045074	-114.059049
Thomas Hickey	D	02/08/1989	Calgary	Alberta	Canada	2012	2013	39	1	3	4	8	1	51.045074	-114.059049
Emil Hanson	D	11/18/1907	Camrose	Alberta	Canada	1932	1933	7	0	0	0	6	1	53.022854	-112.828176
Oscar Hanson	C	12/27/1909	Camrose	Alberta	Canada	1937	1938	8	0	0	0	0	1	53.022854	-112.828176
Steve Gotaas	C	05/10/1967	Camrose	Alberta	Canada	1987	1991	49	6	9	15	53	3	53.022854	-112.828176
Scott Ferguson	D	01/06/1973	Camrose	Alberta	Canada	1997	2006	218	7	14	21	310	7	53.022854	-112.828176
Josh Green	C	11/16/1977	Camrose	Alberta	Canada	1998	2012	341	36	40	76	206	11	53.022854	-112.828176
Tyler Bouck	L	01/13/1980	Camrose	Alberta	Canada	2000	2007	91	4	8	12	93	5	53.022854	-112.828176
Percy Jackson	G	09/21/1907	Canmore	Alberta	Canada	1931	1936	7	0	0	0	0	3	53.022854	-112.828176
Alex Kaleta	L	11/29/1919	Canmore	Alberta	Canada	1941	1951	386	92	121	213	202	7	53.022854	-112.828176
Arthur Michaluk	D	05/04/1923	Canmore	Alberta	Canada	1947	1948	5	0	0	0	0	1	53.022854	-112.828176
John Michaluk	L	11/02/1928	Canmore	Alberta	Canada	1950	1951	1	0	0	0	0	1	53.022854	-112.828176
David MacKay	D	01/14/1919	Cardston	Alberta	Canada	1940	1941	27	3	0	3	26	1	49.195254	-113.301737
Jim Vandermeer	D	02/21/1980	Caroline	Alberta	Canada	2002	2012	461	25	80	105	664	9	52.093903	-114.740514
Tony Stiles	D	08/12/1959	Carstairs	Alberta	Canada	1983	1984	30	2	7	9	20	1	51.56488	-114.09868
Darcy Tucker	C	03/15/1975	Castor	Alberta	Canada	1995	2010	947	215	261	476	1410	14	52.219925	-111.906492
Doug Hicks	D	05/28/1955	Cold Lake	Alberta	Canada	1974	1983	561	37	131	168	442	9	54.46436	-110.172707
David Shand	D	08/11/1956	Cold Lake	Alberta	Canada	1976	1985	421	19	84	103	544	8	54.46436	-110.172707
Kevin Krook	D	04/05/1958	Cold Lake	Alberta	Canada	1978	1979	3	0	0	0	2	1	54.46436	-110.172707
Alex Auld	G	01/07/1981	Cold Lake	Alberta	Canada	2001	2012	237	0	7	7	12	10	54.46436	-110.172707
Rick Rypien	C	05/16/1984	Coleman	Alberta	Canada	2005	2011	119	9	7	16	226	6	49.635172	-114.502431
Riley Nash	C	05/09/1989	Consort	Alberta	Canada	2011	2013	37	4	6	10	10	2	52.009769	-110.775342
Travis Brigley	L	06/16/1977	Coronation	Alberta	Canada	1997	2004	55	3	6	9	16	3	52.093967	-111.445771
Dwayne Zinger	D	07/06/1975	Coronation	Alberta	Canada	2003	2004	7	0	1	1	9	1	52.093967	-111.445771
Don McFadyen	C	03/24/1907	Crossfield	Alberta	Canada	1932	1936	164	12	33	45	77	4	51.430223	-114.031745
Matthew Spiller	D	02/07/1983	Daysland	Alberta	Canada	2003	2008	68	0	2	2	74	3	52.865557	-112.261335
Richard Petiot	D	08/20/1982	Daysland	Alberta	Canada	2005	2011	15	0	3	3	25	3	52.865557	-112.261335
Greg Pankewicz	W	10/06/1970	Drayton Valley	Alberta	Canada	1993	1999	21	0	3	3	22	2	53.221548	-114.977059
Don Campbell	C	07/12/1925	Drumheller	Alberta	Canada	1943	1944	17	1	3	4	8	1	51.461704	-112.707818
Andrew Bodnarchuk	D	07/11/1988	Drumheller	Alberta	Canada	2009	2010	5	0	0	0	2	1	51.461704	-112.707818
Jeff Shantz	C	10/10/1973	Duchess	Alberta	Canada	1993	2003	642	72	139	211	341	10	50.731159	-111.90588
Gene Carrigan	C	07/05/1907	Edmonton	Alberta	Canada	1930	1935	37	2	1	3	13	3	53.544455	-113.490859
Paul Runge	C	09/10/1908	Edmonton	Alberta	Canada	1930	1938	138	18	22	40	57	6	53.544455	-113.490859
Mac Colville	R	01/08/1916	Edmonton	Alberta	Canada	1935	1947	353	71	104	175	132	9	53.544455	-113.490859
Neil Colville	C	08/04/1914	Edmonton	Alberta	Canada	1935	1949	464	99	166	265	213	12	53.544455	-113.490859
Bill Carse	L	05/29/1914	Edmonton	Alberta	Canada	1938	1942	122	28	43	71	38	4	53.544455	-113.490859
Bob Carse	L	07/19/1919	Edmonton	Alberta	Canada	1939	1948	165	32	55	87	52	5	53.544455	-113.490859
Napoleon "Bunny" Dame	L	12/06/1913	Edmonton	Alberta	Canada	1941	1942	34	2	5	7	4	1	53.544455	-113.490859
Gerry Brown	L	07/07/1917	Edmonton	Alberta	Canada	1941	1946	23	4	5	9	2	2	53.544455	-113.490859
Jack McGill	C	09/19/1921	Edmonton	Alberta	Canada	1941	1947	97	23	36	59	42	4	53.544455	-113.490859
Russ Kopak	C	04/26/1924	Edmonton	Alberta	Canada	1943	1944	24	7	9	16	0	1	53.544455	-113.490859
Ken McAuley	G	1/9/1921	Edmonton	Alberta	Canada	1943	1945	96	0	0	0	0	2	53.544455	-113.490859
Hugh Millar	D	04/03/1921	Edmonton	Alberta	Canada	1946	1947	4	0	0	0	0	1	53.544455	-113.490859
Phil Samis	D	12/18/1927	Edmonton	Alberta	Canada	1947	1950	2	0	0	0	0	2	53.544455	-113.490859
John McCormack	C	08/02/1925	Edmonton	Alberta	Canada	1947	1955	311	25	49	74	35	8	53.544455	-113.490859
Jim "Bud" MacPherson	D	03/21/1927	Edmonton	Alberta	Canada	1948	1957	259	5	33	38	233	7	53.544455	-113.490859
